Nombre Empresa,Descripción,Región,Categoría,URL
VEOLIA WATER CHILE,,RM,CONTRATISTA,https://jobs.veolia.com/fr/recherche-d%27offres/Villa%20Presidente%20Frei%2C%20%C3%91u%C3%B1oa%2C%20Santiago%2C%20Chile%2C%20R%C3%A9gion%20m%C3%A9tropolitaine%20de%20Santiago/2702/4/3895114-3873544-3871332-8261178-7874740/-33x46069/-70x58024/50/2
VIGGO,,RM,CONTRATISTA,https://cl.computrabajo.com/viggo/empleos
VOLVO CHILE SPA,,RM,CONTRATISTA,https://jobs.volvogroup.com/
WATSON MARLOW BOMBAS CHILE,,RM,CONTRATISTA,https://sseacademy.csod.com/ux/ats/careersite/1/home?c=sseacademy&country=cl
WORLD COURIER DE CHILE LTDA.,,RM,CONTRATISTA,https://careers.cencora.com/us/en/search-results?p=ChIJL68lBEHFYpYRHbkCERPhBQU&location=Chile
WORLEY,,RM,CONTRATISTA,https://worleyparsons.referrals.selectminds.com/jobs/search/3926835
XCMG S.A.,,RM,CONTRATISTA,https://xcmgchile.pandape.computrabajo.com/Vacancy/Vacancies?search=true
YOKOGAWA CHILE,,RM,CONTRATISTA,https://wd3.myworkdaysite.com/recruiting/yokogawa/yokogawa-career-site?locationCountry=53fe09ef12b9408682a1d2439823f2e0
CODELCO ,CODELCO CHILE DIVISION EL TENIENTE ,VI,MINERA A,https://empleos.codelco.cl/search
ME Elecmetal,,VI,CONTRATISTA,https://elecmetal.trabajando.cl/
ORIZON,Alimentos,VIII,CONTRATISTA,https://orizon.trabajando.cl/trabajo-empleo/
AGGREKO,,IX,CONTRATISTA,https://careers.aggreko.com/sa/es-419/buscar-empleo?countries%5B%5D=Chile&keywords=
FRACTTAL SPA,,XIV,CONTRATISTA,https://careers.fracttal.com/jobs?split_view=true&geobound_coordinates%5Btop_left_lat%5D=-0.10624264673722666&geobound_coordinates%5Btop_left_lon%5D=-83.67825089653934&geobound_coordinates%5Bbottom_right_lat%5D=-48.62003123022153&geobound_coordinates%5Bbottom_right_lon%5D=-51.040018189943396&query=chile
ISVA SPA,,X,CONTRATISTA,https://isva.cl/empleo/
